video,split,scene,resolution,frame,variant,gt_x,gt_y,gt_w,gt_h,gt_area,best_coverage,matched_blob_area,n_blobs_in_frame
00_01_52_to_00_01_58,train,seaside,1920x1080,105,none,1153.0,269.0,68.0,42.0,2856.0,0.97619,1768,4842
00_01_52_to_00_01_58,train,seaside,1920x1080,106,none,1168.0,267.0,68.0,42.0,2856.0,0.928571,1762,335
00_01_52_to_00_01_58,train,seaside,1920x1080,107,none,1186.0,268.0,68.0,42.0,2856.0,0.97619,1771,430
00_01_52_to_00_01_58,train,seaside,1920x1080,108,none,1202.0,266.0,68.0,42.0,2856.0,0.880952,1803,1585
00_01_52_to_00_01_58,train,seaside,1920x1080,109,none,1217.0,267.0,74.0,44.0,3256.0,0.886364,1816,821
00_01_52_to_00_01_58,train,seaside,1920x1080,110,none,1233.0,268.0,74.0,44.0,3256.0,0.909091,1851,1149
00_01_52_to_00_01_58,train,seaside,1920x1080,111,none,1249.0,266.0,74.0,44.0,3256.0,0.840909,1885,2615
00_01_52_to_00_01_58,train,seaside,1920x1080,112,none,1265.0,271.0,74.0,44.0,3256.0,0.931818,1850,1426
00_01_52_to_00_01_58,train,seaside,1920x1080,113,none,1281.0,269.0,74.0,44.0,3256.0,0.886364,1855,1302
00_01_52_to_00_01_58,train,seaside,1920x1080,114,none,1294.0,270.0,74.0,44.0,3256.0,0.886364,1810,2083
00_01_52_to_00_01_58,train,seaside,1920x1080,115,none,1310.0,270.0,74.0,44.0,3256.0,0.863636,1792,643
00_01_52_to_00_01_58,train,seaside,1920x1080,116,none,1325.0,273.0,74.0,44.0,3256.0,0.896806,1733,392
00_01_52_to_00_01_58,train,seaside,1920x1080,117,none,1343.0,273.0,74.0,44.0,3256.0,0.909091,1781,1385
00_01_52_to_00_01_58,train,seaside,1920x1080,118,none,1359.0,271.0,74.0,44.0,3256.0,0.863636,1719,336
00_01_52_to_00_01_58,train,seaside,1920x1080,119,none,1374.0,274.0,74.0,44.0,3256.0,0.909091,1756,368
00_01_52_to_00_01_58,train,seaside,1920x1080,120,none,1392.0,272.0,74.0,44.0,3256.0,0.863636,1815,5094
00_01_52_to_00_01_58,train,seaside,1920x1080,121,none,1408.0,273.0,74.0,44.0,3256.0,0.886364,1817,733
00_01_52_to_00_01_58,train,seaside,1920x1080,122,none,1424.0,273.0,74.0,44.0,3256.0,0.886364,1838,1328
00_01_52_to_00_01_58,train,seaside,1920x1080,123,none,1440.0,274.0,74.0,44.0,3256.0,0.886364,1857,2418
00_01_52_to_00_01_58,train,seaside,1920x1080,124,none,1455.0,277.0,74.0,44.0,3256.0,0.909091,1831,955
00_01_52_to_00_01_58,train,seaside,1920x1080,125,none,1471.0,277.0,74.0,44.0,3256.0,0.954545,1778,437
00_01_52_to_00_01_58,train,seaside,1920x1080,126,none,1484.0,278.0,74.0,44.0,3256.0,0.886364,1764,1471
00_01_52_to_00_01_58,train,seaside,1920x1080,127,none,1497.0,278.0,74.0,44.0,3256.0,0.909091,1704,350
00_01_52_to_00_01_58,train,seaside,1920x1080,128,none,1513.0,278.0,74.0,44.0,3256.0,0.909091,1707,331
00_01_52_to_00_01_58,train,seaside,1920x1080,129,none,1529.0,278.0,74.0,44.0,3256.0,0.886364,1689,1457
00_01_52_to_00_01_58,train,seaside,1920x1080,130,none,1544.0,279.0,74.0,44.0,3256.0,0.909091,1701,456
00_01_52_to_00_01_58,train,seaside,1920x1080,131,none,1555.0,280.0,74.0,44.0,3256.0,0.886364,1735,843
00_01_52_to_00_01_58,train,seaside,1920x1080,132,none,1571.0,283.0,74.0,44.0,3256.0,0.909091,1710,1937
00_01_52_to_00_01_58,train,seaside,1920x1080,133,none,1586.0,283.0,74.0,44.0,3256.0,0.909091,1692,1282
00_01_52_to_00_01_58,train,seaside,1920x1080,134,none,1602.0,284.0,74.0,44.0,3256.0,0.886364,1658,1519
00_01_52_to_00_01_58,train,seaside,1920x1080,135,none,1613.0,280.0,74.0,44.0,3256.0,0.851966,1675,5686
00_01_52_to_00_01_58,train,seaside,1920x1080,136,none,1631.0,283.0,74.0,44.0,3256.0,0.886364,1625,778
00_01_52_to_00_01_58,train,seaside,1920x1080,137,none,1644.0,283.0,74.0,44.0,3256.0,0.863636,1620,843
00_01_52_to_00_01_58,train,seaside,1920x1080,138,none,1660.0,283.0,74.0,44.0,3256.0,0.886364,1626,1886
00_01_52_to_00_01_58,train,seaside,1920x1080,139,none,1675.0,284.0,74.0,44.0,3256.0,0.909091,1665,1213
00_01_52_to_00_01_58,train,seaside,1920x1080,140,none,1690.0,285.0,74.0,44.0,3256.0,0.886364,1658,1135
00_01_52_to_00_01_58,train,seaside,1920x1080,141,none,1705.0,286.0,74.0,44.0,3256.0,0.931818,1640,1909
00_01_52_to_00_01_58,train,seaside,1920x1080,142,none,1716.0,286.0,74.0,44.0,3256.0,0.886364,1562,697
00_01_52_to_00_01_58,train,seaside,1920x1080,143,none,1731.0,287.0,74.0,44.0,3256.0,0.863636,1593,552
00_01_52_to_00_01_58,train,seaside,1920x1080,144,none,1746.0,287.0,74.0,44.0,3256.0,0.886364,1594,1412
00_01_52_to_00_01_58,train,seaside,1920x1080,145,none,1759.0,285.0,74.0,44.0,3256.0,0.863636,1532,323
00_01_52_to_00_01_58,train,seaside,1920x1080,146,none,1774.0,286.0,74.0,44.0,3256.0,0.886364,1605,329
00_01_52_to_00_01_58,train,seaside,1920x1080,147,none,1782.0,287.0,74.0,44.0,3256.0,0.886364,1628,1448
00_01_52_to_00_01_58,train,seaside,1920x1080,148,none,1804.0,287.0,74.0,44.0,3256.0,0.909091,1729,489
00_01_52_to_00_01_58,train,seaside,1920x1080,149,none,1814.0,287.0,74.0,44.0,3256.0,0.886364,1619,876
00_01_52_to_00_01_58,train,seaside,1920x1080,150,none,1827.0,287.0,74.0,44.0,3256.0,0.886364,1781,6073
00_01_52_to_00_01_58,train,seaside,1920x1080,151,none,1838.0,288.0,74.0,44.0,3256.0,0.886364,1688,1047
00_01_52_to_00_01_58,train,seaside,1920x1080,152,none,1855.0,291.0,61.0,43.0,2623.0,0.906977,1648,758
00_01_52_to_00_01_58,train,seaside,1920x1080,153,none,1863.0,290.0,56.0,46.0,2576.0,0.847826,1436,1571
00_01_52_to_00_01_58,train,seaside,1920x1080,154,none,1879.0,290.0,56.0,46.0,2576.0,0.604814,976,324
00_01_52_to_00_01_58,train,seaside,1920x1080,155,none,1879.0,290.0,56.0,46.0,2576.0,0.44837,529,334
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,0,none,708.0,757.0,15.0,13.0,195.0,1.0,2073600,1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,1,none,707.0,758.0,15.0,12.0,180.0,0.194444,18,359
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,2,none,707.0,757.0,15.0,13.0,195.0,0.14359,15,35
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,3,none,706.0,759.0,16.0,11.0,176.0,0.045455,6,241
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,4,none,703.0,758.0,18.0,11.0,198.0,0.060606,7,244
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,5,none,704.0,758.0,16.0,12.0,192.0,0.104167,9,96
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,6,none,703.0,758.0,18.0,12.0,216.0,0.055556,9,61
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,7,none,701.0,758.0,17.0,11.0,187.0,0.064171,7,345
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,8,none,701.0,758.0,17.0,12.0,204.0,0.014706,3,581
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,9,none,699.0,757.0,19.0,11.0,209.0,0.043062,5,300
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,10,none,698.0,758.0,19.0,12.0,228.0,0.035088,6,382
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,11,none,700.0,758.0,15.0,10.0,150.0,0.166667,12,671
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,12,none,700.0,757.0,15.0,12.0,180.0,0.4,26,1667
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,13,none,699.0,758.0,13.0,12.0,156.0,0.230769,15,924
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,14,none,698.0,757.0,14.0,12.0,168.0,0.47619,31,188
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,15,none,696.0,758.0,16.0,11.0,176.0,0.511364,36,2034
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,16,none,695.0,758.0,16.0,12.0,192.0,0.46875,31,2271
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,17,none,694.0,758.0,15.0,12.0,180.0,0.233333,22,2585
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,18,none,694.0,757.0,16.0,12.0,192.0,0.21875,22,1317
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,19,none,693.0,757.0,17.0,11.0,187.0,0.427807,31,837
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,20,none,693.0,757.0,15.0,11.0,165.0,0.6,35,1617
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,21,none,692.0,758.0,15.0,11.0,165.0,0.254545,24,1843
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,22,none,692.0,758.0,16.0,11.0,176.0,0.454545,36,1717
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,23,none,692.0,758.0,14.0,11.0,154.0,0.467532,31,1970
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,24,none,690.0,757.0,16.0,12.0,192.0,0.130208,14,2744
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,25,none,690.0,758.0,14.0,11.0,154.0,0.571429,43,2537
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,26,none,690.0,758.0,15.0,11.0,165.0,0.436364,44,2295
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,27,none,689.0,757.0,15.0,11.0,165.0,0.484848,38,3218
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,28,none,688.0,757.0,16.0,11.0,176.0,0.5,46,2728
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,29,none,688.0,757.0,15.0,11.0,165.0,0.6,40,2343
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,30,none,687.0,756.0,16.0,12.0,192.0,0.375,32,2652
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,31,none,686.0,757.0,14.0,10.0,140.0,0.642857,45,2673
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,32,none,685.0,756.0,16.0,12.0,192.0,0.46875,49,2958
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,33,none,684.0,756.0,16.0,12.0,192.0,0.609375,53,2682
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,34,none,684.0,756.0,15.0,13.0,195.0,0.564103,47,2193
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,35,none,683.0,756.0,16.0,13.0,208.0,0.528846,53,2505
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,36,none,682.0,755.0,16.0,12.0,192.0,0.515625,56,3085
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,37,none,681.0,755.0,16.0,14.0,224.0,0.482143,50,2835
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,38,none,681.0,755.0,16.0,13.0,208.0,0.475962,48,2425
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,39,none,680.0,754.0,16.0,14.0,224.0,0.441964,52,3400
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,40,none,678.0,754.0,18.0,14.0,252.0,0.436508,52,3354
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,41,none,677.0,753.0,19.0,15.0,285.0,0.421053,53,3313
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,42,none,676.0,753.0,19.0,15.0,285.0,0.280702,46,3451
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,43,none,676.0,753.0,19.0,15.0,285.0,0.45614,59,3146
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,44,none,675.0,753.0,19.0,15.0,285.0,0.224561,41,3106
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,45,none,675.0,753.0,19.0,15.0,285.0,0.491228,56,3395
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,46,none,674.0,753.0,19.0,15.0,285.0,0.385965,57,3185
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,47,none,674.0,753.0,19.0,15.0,285.0,0.45614,61,3193
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,48,none,672.0,753.0,19.0,15.0,285.0,0.421053,55,3262
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,49,none,672.0,752.0,19.0,15.0,285.0,0.421053,61,2818
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,50,none,671.0,752.0,19.0,15.0,285.0,0.442105,72,2784
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,51,none,670.0,752.0,19.0,15.0,285.0,0.526316,71,3312
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,52,none,669.0,752.0,19.0,15.0,285.0,0.540351,80,3079
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,53,none,669.0,752.0,19.0,15.0,285.0,0.540351,75,3144
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,54,none,668.0,752.0,19.0,15.0,285.0,0.463158,61,3157
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,55,none,667.0,751.0,19.0,15.0,285.0,0.501754,70,3034
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,56,none,666.0,751.0,19.0,15.0,285.0,0.547368,72,3187
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,57,none,666.0,751.0,19.0,15.0,285.0,0.505263,67,3424
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,58,none,666.0,751.0,19.0,15.0,285.0,0.463158,68,3020
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,59,none,666.0,751.0,19.0,15.0,285.0,0.547368,85,2761
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,60,none,665.0,751.0,19.0,15.0,285.0,0.463158,73,3173
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,61,none,665.0,751.0,17.0,14.0,238.0,0.462185,69,2905
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,62,none,662.0,750.0,17.0,15.0,255.0,0.588235,76,2863
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,63,none,662.0,751.0,17.0,13.0,221.0,0.678733,81,3272
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,64,none,662.0,751.0,16.0,12.0,192.0,0.802083,82,2977
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,65,none,661.0,751.0,15.0,13.0,195.0,0.846154,83,3035
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,66,none,659.0,751.0,19.0,11.0,209.0,0.717703,85,3120
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,67,none,659.0,751.0,18.0,11.0,198.0,0.808081,90,2934
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,68,none,658.0,749.0,19.0,15.0,285.0,0.561404,92,2939
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,69,none,658.0,749.0,19.0,15.0,285.0,0.491228,88,3125
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,70,none,657.0,749.0,19.0,15.0,285.0,0.526316,85,2897
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,71,none,655.0,749.0,19.0,15.0,285.0,0.491228,82,2934
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,72,none,655.0,749.0,19.0,15.0,285.0,0.526316,88,3280
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,73,none,654.0,748.0,19.0,15.0,285.0,0.473684,83,2901
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,74,none,653.0,748.0,19.0,15.0,285.0,0.473684,85,2806
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,75,none,652.0,748.0,19.0,15.0,285.0,0.505263,82,3082
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,76,none,652.0,748.0,19.0,15.0,285.0,0.473684,91,2910
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,77,none,651.0,748.0,19.0,15.0,285.0,0.473684,85,2993
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,78,none,650.0,748.0,19.0,15.0,285.0,0.473684,86,2918
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,79,none,649.0,748.0,19.0,15.0,285.0,0.596491,87,2684
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,80,none,648.0,748.0,19.0,15.0,285.0,0.473684,84,2730
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,81,none,647.0,748.0,19.0,15.0,285.0,0.65614,101,2952
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,82,none,646.0,748.0,19.0,15.0,285.0,0.617544,97,2693
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,83,none,645.0,748.0,19.0,15.0,285.0,0.65614,104,2624
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,84,none,644.0,748.0,19.0,15.0,285.0,0.596491,97,2946
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,85,none,643.0,748.0,19.0,15.0,285.0,0.617544,102,2658
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,86,none,642.0,748.0,19.0,15.0,285.0,0.561404,99,2624
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,87,none,642.0,748.0,19.0,14.0,266.0,0.639098,98,3158
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,88,none,643.0,749.0,17.0,12.0,204.0,0.833333,106,2917
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,89,none,642.0,748.0,20.0,13.0,260.0,0.653846,109,2898
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,90,none,640.0,748.0,20.0,14.0,280.0,0.667857,112,3003
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,91,none,640.0,748.0,18.0,12.0,216.0,0.787037,114,2783
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,92,none,638.0,747.0,19.0,15.0,285.0,0.733333,120,2903
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,93,none,637.0,747.0,19.0,15.0,285.0,0.666667,119,2956
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,94,none,636.0,747.0,19.0,15.0,285.0,0.694737,123,2749
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,95,none,636.0,747.0,19.0,15.0,285.0,0.666667,130,2720
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,96,none,635.0,747.0,19.0,15.0,285.0,0.666667,120,3073
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,97,none,635.0,747.0,19.0,15.0,285.0,0.8,130,2798
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,98,none,633.0,746.0,19.0,15.0,285.0,0.694737,117,2689
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,99,none,632.0,746.0,19.0,14.0,266.0,0.744361,122,2976
