video,split,scene,resolution,frame,x,y,w,h,blob_area,area_frac,coverage,label,gt_index
00_06_10_to_00_06_27,train,seaside,1920x1080,399,1533,955,18,3,25,1.2056e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,411,1856,950,47,3,75,3.6169e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,412,1835,943,65,4,101,4.8708e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,413,1398,960,84,4,134,6.4622e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,414,1398,960,86,4,144,6.9444e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,418,1836,943,64,4,103,4.9672e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,437,47,980,17,3,33,1.5914e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,438,1450,959,67,5,129,6.2211e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,439,1599,946,232,11,465,0.000224248,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,451,1402,961,43,3,50,2.4113e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,453,1453,958,67,6,138,6.6551e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,462,1608,946,224,11,522,0.000251736,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,472,1718,946,114,6,257,0.000123939,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,481,1596,954,20,5,51,2.4595e-05,0.0,negative,-1
00_06_10_to_00_06_27,train,seaside,1920x1080,486,1617,946,229,12,507,0.000244502,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,33,1836,50,84,71,2914,0.001405285,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,136,1550,89,7,5,15,7.234e-06,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,136,1106,270,11,10,35,1.6879e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,136,124,303,23,24,135,6.5104e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,136,1017,398,28,12,118,5.6906e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,136,1333,528,17,4,35,1.6879e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,137,1808,12,32,36,293,0.0001413,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,137,1613,21,36,22,172,8.2948e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,137,1782,77,18,19,108,5.2083e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,137,1336,504,29,15,136,6.5586e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,138,317,84,11,6,23,1.1092e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,138,1711,299,10,13,34,1.6397e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,138,65,320,34,10,112,5.4012e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,138,1914,352,6,5,16,7.716e-06,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,138,1067,376,17,13,55,2.6524e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,138,1312,475,14,8,44,2.1219e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,138,1752,480,18,17,113,5.4495e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,138,1364,496,12,10,45,2.1701e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,138,1723,502,153,42,1382,0.000666474,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,139,1766,259,11,12,37,1.7843e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,139,260,264,12,10,42,2.0255e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,139,1871,346,42,31,321,0.000154803,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,139,1499,350,43,42,509,0.000245467,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,139,1692,360,29,23,177,8.5359e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,139,1733,398,187,85,3571,0.001722126,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,139,1405,512,34,16,163,7.8607e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,140,1282,56,23,8,54,2.6042e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,140,536,481,16,6,36,1.7361e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,140,54,563,8,4,19,9.163e-06,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,140,604,962,52,13,189,9.1146e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,141,1708,0,101,57,1179,0.000568576,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,141,209,100,17,4,40,1.929e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,141,35,318,9,15,49,2.363e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,141,658,741,8,6,17,8.198e-06,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,142,1491,8,13,7,36,1.7361e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,142,1802,57,38,11,106,5.1119e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,142,1576,76,33,20,239,0.000115258,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,142,1592,245,9,3,18,8.681e-06,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,142,1609,337,10,6,20,9.645e-06,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,142,1652,487,18,19,111,5.353e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,143,1350,173,55,19,328,0.000158179,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,143,1793,320,18,15,76,3.6651e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,143,1712,328,14,7,38,1.8326e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,143,1505,378,37,22,176,8.4877e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,143,553,396,24,16,80,3.858e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,143,1510,413,26,16,162,7.8125e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,143,1878,412,18,19,109,5.2566e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,144,1731,228,15,9,41,1.9772e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,144,1198,319,14,9,42,2.0255e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,144,1653,327,75,52,602,0.000290316,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,144,1519,355,24,13,79,3.8098e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,144,1697,466,72,32,673,0.000324556,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,144,783,470,12,7,25,1.2056e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,145,1040,75,21,11,77,3.7133e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,145,1475,210,10,5,23,1.1092e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,145,187,307,18,7,38,1.8326e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,145,1152,321,39,18,268,0.000129244,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,145,1760,388,33,20,167,8.0536e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,145,1847,545,42,18,199,9.5968e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,146,1502,373,18,16,103,4.9672e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,146,1744,429,168,48,1900,0.000916281,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,146,1840,465,14,19,123,5.9317e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,146,1570,502,37,18,209,0.000100791,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,147,1500,40,21,18,128,6.1728e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,147,1532,43,53,37,486,0.000234375,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,147,1276,239,16,9,33,1.5914e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,147,963,323,19,10,50,2.4113e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,147,1744,404,24,12,102,4.919e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,147,1730,1000,18,4,33,1.5914e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,148,1562,77,56,26,374,0.000180363,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,148,1866,161,14,6,36,1.7361e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,148,762,264,13,8,51,2.4595e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,148,13,396,19,12,69,3.3275e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,148,1345,431,31,22,142,6.848e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,149,1494,49,38,15,113,5.4495e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,149,600,115,8,6,16,7.716e-06,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,149,1810,320,11,10,33,1.5914e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,150,1698,10,126,54,1222,0.000589313,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,150,162,169,6,4,16,7.716e-06,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,150,1743,425,177,58,2171,0.001046971,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,150,1900,476,20,14,77,3.7133e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,150,1745,511,15,9,66,3.1829e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,151,1897,211,16,13,73,3.5204e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,151,1753,252,31,14,117,5.6424e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,151,1575,264,12,17,62,2.99e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,151,1689,306,23,14,41,1.9772e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,151,1744,511,21,12,87,4.1956e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,151,832,514,14,14,76,3.6651e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,152,1168,344,8,8,33,1.5914e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,152,1165,425,19,10,65,3.1346e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,152,1735,440,31,24,188,9.0664e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,153,1866,157,46,43,503,0.000242573,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,153,1575,185,16,4,25,1.2056e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,153,1797,316,18,14,52,2.5077e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,153,865,384,20,10,82,3.9545e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,153,1806,398,18,10,75,3.6169e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,153,709,418,8,4,16,7.716e-06,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,154,1297,148,9,6,18,8.681e-06,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,154,127,302,28,24,195,9.4039e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,154,368,388,18,10,48,2.3148e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,154,1255,415,35,15,154,7.4267e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,154,808,860,14,4,34,1.6397e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,155,1820,168,90,58,893,0.000430652,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,155,833,280,9,5,19,9.163e-06,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,155,1664,400,7,6,20,9.645e-06,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,155,1544,422,93,65,1205,0.000581115,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,155,1463,489,17,12,86,4.1474e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,155,1779,510,70,17,338,0.000163002,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,155,970,578,9,9,35,1.6879e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,155,1729,866,13,5,28,1.3503e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,155,1460,953,44,7,111,5.353e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,156,1786,73,45,27,263,0.000126833,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,156,148,312,28,10,103,4.9672e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,156,1710,326,13,21,95,4.5814e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,156,1765,369,10,5,25,1.2056e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,156,1509,447,98,39,1061,0.000511671,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,156,340,1060,34,5,88,4.2438e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,157,1449,19,15,14,78,3.7616e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,157,1810,64,9,8,35,1.6879e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,157,1673,308,5,4,15,7.234e-06,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,157,1733,424,187,56,2542,0.001225887,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,157,1605,464,38,34,414,0.000199653,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,157,728,468,5,5,16,7.716e-06,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,157,1576,536,14,7,42,2.0255e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,157,1781,694,26,7,60,2.8935e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,158,1841,113,26,15,94,4.5332e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,158,1363,184,34,6,71,3.424e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,159,1684,122,12,14,52,2.5077e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,159,1432,263,25,12,99,4.7743e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,159,520,265,7,17,45,2.1701e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,159,1514,272,39,17,188,9.0664e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,159,80,311,24,20,119,5.7388e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,159,1185,318,32,19,181,8.7288e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,159,1777,473,15,14,70,3.3758e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,159,1303,495,18,9,51,2.4595e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,160,1277,268,15,20,114,5.4977e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,160,1658,424,14,9,42,2.0255e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,160,1643,465,28,22,200,9.6451e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,160,1771,466,20,22,125,6.0282e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,160,1716,484,33,12,110,5.3048e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,160,1121,512,13,14,40,1.929e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,161,1521,23,14,7,42,2.0255e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,161,1464,259,22,13,101,4.8708e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,161,1763,330,20,5,36,1.7361e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,161,1104,390,15,11,52,2.5077e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,161,1600,470,43,36,450,0.000217014,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,162,1744,9,58,22,341,0.000164448,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,163,1678,26,9,5,16,7.716e-06,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,163,1806,91,84,52,976,0.000470679,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,163,1002,250,19,7,42,2.0255e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,163,1789,505,60,16,260,0.000125386,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,163,1742,512,34,8,97,4.6779e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,163,1256,555,19,7,39,1.8808e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,165,1542,37,43,50,497,0.00023968,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,165,1835,465,20,15,110,5.3048e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,165,1649,472,19,13,89,4.2921e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,166,1528,36,57,42,557,0.000268615,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,166,1711,196,9,4,16,7.716e-06,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,166,1769,281,13,8,35,1.6879e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,166,1384,401,8,4,15,7.234e-06,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,166,432,424,10,7,27,1.3021e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,166,436,430,17,12,50,2.4113e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,166,1895,465,20,17,110,5.3048e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,166,1731,474,10,6,19,9.163e-06,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,166,1551,513,34,10,130,6.2693e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,166,1288,552,10,8,38,1.8326e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,167,1549,64,43,13,192,9.2593e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,167,1804,89,87,48,920,0.000443673,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,167,1775,404,145,69,2579,0.001243731,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,167,1679,424,9,9,36,1.7361e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,167,1497,434,28,16,160,7.716e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,167,1458,439,10,7,31,1.495e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,167,1691,465,53,31,399,0.000192419,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,167,1361,497,16,4,34,1.6397e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,167,1616,1016,7,7,27,1.3021e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,168,1527,32,33,17,180,8.6806e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,168,1494,375,30,16,149,7.1856e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,168,1024,391,9,17,39,1.8808e-05,0.0,negative,-1
00_09_30_to_00_10_09,train,seaside,1920x1080,168,1907,440,13,25,103,4.9672e-05,0.0,negative,-1
